user_id,age_group,country,signup_date
88,18-24,USA,2024-06-23
89,45-54,Canada,2024-06-25
90,35-44,India,2024-06-27
91,35-44,India,2024-06-29
92,18-24,India,2024-07-01
93,35-44,India,2024-07-03
94,35-44,India,2024-07-05
95,18-24,USA,2024-07-07
96,35-44,India,2024-07-09
97,55+,Australia,2024-07-11
98,25-34,India,2024-07-13
99,25-34,USA,2024-07-15
100,18-24,India,2024-07-17
101,45-54,India,2024-07-19
102,18-24,USA,2024-07-21
103,45-54,India,2024-07-23
104,25-34,India,2024-07-25
105,18-24,Australia,2024-07-27
106,55+,USA,2024-07-29
107,35-44,India,2024-07-31
108,45-54,India,2024-08-02
109,35-44,India,2024-08-04
110,35-44,USA,2024-08-06
111,18-24,India,2024-08-08
112,35-44,India,2024-08-10
113,55+,India,2024-08-12
114,35-44,India,2024-08-14
115,18-24,USA,2024-08-16
116,55+,India,2024-08-18
117,25-34,Canada,2024-08-20
118,35-44,India,2024-08-22
119,18-24,India,2024-08-24
120,25-34,India,2024-08-26
121,25-34,India,2024-08-28
122,45-54,Australia,2024-08-30
123,55+,UK,2024-09-01
124,35-44,India,2024-09-03
125,18-24,USA,2024-09-05
126,45-54,India,2024-09-07
127,55+,USA,2024-09-09
128,45-54,India,2024-09-11
129,55+,UK,2024-09-13
130,55+,India,2024-09-15
131,35-44,India,2024-09-17
132,55+,India,2024-09-19
133,45-54,India,2024-09-21
134,55+,India,2024-09-23
135,35-44,India,2024-09-25
136,35-44,Australia,2024-09-27
137,45-54,India,2024-09-29
138,25-34,India,2024-10-01
139,25-34,USA,2024-10-03
140,55+,USA,2024-10-05
141,18-24,India,2024-10-07
142,55+,India,2024-10-09
143,45-54,UK,2024-10-11
144,45-54,India,2024-10-13
145,45-54,Australia,2024-10-15
146,45-54,Canada,2024-10-17
147,45-54,India,2024-10-19
148,35-44,India,2024-10-21
149,25-34,Australia,2024-10-23
150,45-54,India,2024-10-25
151,18-24,India,2024-10-27
152,18-24,USA,2024-10-29
153,18-24,UK,2024-10-31
154,18-24,Australia,2024-11-02
155,35-44,Australia,2024-11-04
156,18-24,Canada,2024-11-06
157,45-54,UK,2024-11-08
158,55+,USA,2024-11-10
159,18-24,USA,2024-11-12
160,35-44,UK,2024-11-14
161,35-44,India,2024-11-16
162,18-24,USA,2024-11-18
163,55+,USA,2024-11-20
164,18-24,UK,2024-11-22
165,35-44,USA,2024-11-24
166,25-34,USA,2024-11-26
167,45-54,India,2024-11-28
168,35-44,India,2024-11-30
169,18-24,India,2024-12-02
170,45-54,India,2024-12-04
171,18-24,India,2024-12-06
172,18-24,UK,2024-12-08
173,25-34,India,2024-12-10
174,45-54,USA,2024-12-12
175,45-54,India,2024-12-14
176,25-34,USA,2024-12-16
177,35-44,India,2024-12-18
178,18-24,India,2024-12-20
179,55+,India,2024-12-22
180,18-24,USA,2024-12-24
181,18-24,India,2024-12-26
182,35-44,Australia,2024-12-28
183,18-24,India,2024-12-30
184,25-34,India,2025-01-01
185,25-34,Australia,2025-01-03
186,45-54,India,2025-01-05
187,55+,India,2025-01-07
188,18-24,UK,2025-01-09
189,18-24,UK,2025-01-11
190,35-44,USA,2025-01-13
191,25-34,India,2025-01-15
192,55+,India,2025-01-17
193,45-54,UK,2025-01-19
194,25-34,Canada,2025-01-21
195,45-54,UK,2025-01-23
196,35-44,India,2025-01-25
197,35-44,USA,2025-01-27
198,18-24,USA,2025-01-29
199,55+,India,2025-01-31
200,45-54,India,2025-02-02
201,25-34,India,2025-02-04
202,35-44,India,2025-02-06
203,18-24,India,2025-02-08
204,18-24,India,2025-02-10
205,45-54,India,2025-02-12
206,35-44,India,2025-02-14
207,55+,Australia,2025-02-16
208,35-44,USA,2025-02-18
209,45-54,India,2025-02-20
210,45-54,Australia,2025-02-22
211,35-44,USA,2025-02-24
212,45-54,India,2025-02-26
213,35-44,India,2025-02-28
214,25-34,India,2025-03-02
215,35-44,India,2025-03-04
216,35-44,UK,2025-03-06
217,45-54,UK,2025-03-08
218,45-54,India,2025-03-10
219,18-24,Australia,2025-03-12
220,18-24,USA,2025-03-14
221,25-34,India,2025-03-16
222,18-24,Australia,2025-03-18
223,35-44,Australia,2025-03-20
224,45-54,Australia,2025-03-22
225,18-24,India,2025-03-24
226,18-24,USA,2025-03-26
227,25-34,India,2025-03-28
228,25-34,USA,2025-03-30
229,35-44,Australia,2025-04-01
230,45-54,USA,2025-04-03
231,25-34,USA,2025-04-05
232,18-24,Canada,2025-04-07
233,45-54,USA,2025-04-09
234,45-54,India,2025-04-11
235,18-24,India,2025-04-13
236,25-34,India,2025-04-15
237,18-24,Canada,2025-04-17
238,45-54,India,2025-04-19
239,55+,India,2025-04-21
240,55+,India,2025-04-23
241,35-44,UK,2025-04-25
242,18-24,Canada,2025-04-27
243,18-24,Canada,2025-04-29
244,35-44,India,2025-05-01
245,35-44,Canada,2025-05-03
246,35-44,UK,2025-05-05
247,45-54,India,2025-05-07
248,18-24,USA,2025-05-09
249,45-54,India,2025-05-11
250,35-44,India,2025-05-13
